登録番号,資料名,材質＊,材質＊,材質＊,材質＊,材質＊,材質＊,材質＊,点数＊,状態＊,備考＊,収蔵場所,旧蔵者,受入年月,受入方法,収蔵場所,所蔵者,調査年月,調査者,撮影備考
ODK00115,縄,藁,植物繊維,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00116,草鞋,藁,植物繊維,,,,,,1対(2点),,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00117,はんばきヵ,藁,植物繊維,,,,,,1対(2点),,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00118,はだこもヵ,藁,植物繊維,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00119,背負籠（こだし）,藁,植物繊維,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00120,笊,木,竹,植物繊維,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00121,笊,木,竹,植物繊維,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00122,じょうご,竹,木,植物繊維,,,,,1点,,底に穴が空いている。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00123,籠（糸かえし籠ヵ）,竹,植物繊維,,,,,,1点,,底に穴が空いている。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00124,籠（糸かえし籠ヵ）,竹,植物繊維,,,,,,1点,,底に穴が空いている。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00125,籠（糸かえし籠ヵ）,竹,植物繊維,,,,,,1点,,底に穴が空いている。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00126,籠（糸かえし籠ヵ）,竹,植物繊維,,,,,,1点,,底に穴が空いている。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00127,籠（糸かえし籠ヵ）,竹,植物繊維,,,,,,1点,,底に穴が空いている。胴体部分に糸が巻かれている。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00128,籠,竹,藁,,,,,,1点,,藁紐付き,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00129,籠（オモゲ又は糸かえし籠ヵ）,竹,植物繊維,紙,,,,,1点,,底に穴が空いている。胴体部分に新聞紙が巻かれ、その上にさらに糸が巻かれている。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00130,籠（オモゲ又は糸かえし籠ヵ）,竹,植物繊維,,,,,,1点,,底に穴が空いている。胴体部分に糸が巻かれている。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00131,籠（糸かえし籠ヵ）,竹,植物繊維,,,,,,1点,,底に穴が空いている。胴体部分に糸が巻かれている。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00132,籠,竹,植物繊維,金属,,,,,1点,,ひも2箇所つき,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00133,籠,竹,植物繊維,金属,,,,,1点,,ひも2箇所つき,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00134,刀箪笥,木,金属,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00135,飼葉桶,木,金属,藁,,,,,1点,,付紙「C-6/畜産」。ODK00136〜00138までODK00135飼葉桶入り。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00136,牛のくびき,木,藁,金属,植物繊維,,,,1点,,ODK00136〜00138までODK00135飼葉桶入り。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00137,あぶみ,金属,植物繊維,,,,,,1点,,ODK00136〜00138までODK00135飼葉桶入り。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00138,馬金具,金属,藁,革,合成樹脂,,,,1点,,ODK00136〜00138までODK00135飼葉桶入り。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00139,押切,金属,木,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00140,鞍,金属,木,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00141,荷鞍,金属,木,藁,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00142,ネジ,金属,,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00143,縄,藁,,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00144,馬のくびき,木,革,金属,藁,植物繊維,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00145,馬のくびき,木,藁,金属,植物繊維,革ヵ,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00146,馬のくびき,木,藁,植物繊維,革,金属,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00147,鞍,金属,革,植物繊維,木,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00148,鞍,木,金属,藁,竹,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00149,鞍,木,藁,植物繊維,金属,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00150,活動写真機,金属,合成樹脂,ガラス,,,,,1揃(部品複数),,箱入り,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00151,ハンドル高速編物機,金属,合成樹脂,,,,,,1揃(部品複数),,箱入り。編み物あり。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00152,箱ソリ,金属,木,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00153,箱ソリ,金属,木,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00154,手樽,木,竹,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00155,ウケ,木,竹,食物繊維,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00156,みの（けら）,藁,食物繊維,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00157,みの（けら）,藁,食物繊維,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00158,みの（けら）,藁,食物繊維,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00159,蓋置,藁,,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00160,みの（けら）,藁,食物繊維,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00161,みの（けら）,藁,食物繊維,,,,,,1点,,屋号は編み込み,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00162,みの（けら）,藁,食物繊維,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00163,雛飾り設ヵ,木,金属,食物繊維,布,竹,,,1揃(複数),,木箱入り。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00164,糸巻,木,金属,,,,,,1点,欠損,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00165,柄杓,金属,木,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00166,傘,竹,金属,紙,革,植物繊維,木,その他(塗りあり),1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00167,傘,竹,金属,紙,革,植物繊維,木,その他(塗りあり),1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00168,傘,竹,金属,紙,革,植物繊維,木,その他(塗りあり),1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00169,絎台,木,植物繊維,金属,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00170,糸巻（一部）,木,植物繊維,,,,,,1点,欠損,軸を中心に板をクロスすることができる,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00171,灰皿,金属,木,,,,,,1点,破損,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00172,灰皿,ガラス,,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00173,花瓶ヵ,金属,,,,,,,1点,,底が開いている。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00174,ソース瓶,ガラス,,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00175,ジュース瓶,ガラス,,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00176,ガラス瓶等,金属,ガラス,木,合成樹脂,木(漆),,,1揃(複数),,複数のものが箱入り。ガラス瓶・鋏・缶切り状刃物など。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00177,お菓子缶,金属,,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00178,不明（穴あき石）,石,,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00179,木片,木,,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00180,名刺（内田耕作）,紙,,,,,,,1揃(複数),,箱入り。箱に値段ラベル等あり,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00181,雪下駄（つまかわあしだ・男物）,木,合成樹脂,その他(化学繊維ヵ),金属,,,,1対(2点),,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00182,下駄,木(漆),藁,植物繊維,金属,,,,1対(2点),,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00183,雪下駄（つまかわあしだ））,木,金属,植物繊維,藁,毛,その他(化学繊維ヵ）,,1対(2点),,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00184,雪下駄（つまかわあしだ））,木,金属,植物繊維,藁,毛,その他(化学繊維ヵ）,,1対(2点),,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00185,下駄,木(漆),金属,藁,その他(化学繊維ヵ）,合成樹脂,,,1対(2点),,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00186,雪下駄（つまかわあしだ））,木,合成樹脂,革,植物繊維,金属,,,1対(2点),,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00187,雪下駄（つまかわあしだ））,木(漆),合成樹脂,毛,金属,その他(化学繊維ヵ）,,,1対(2点),,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00188,雪下駄（つまかわあしだ））,木,革,毛,その他(化学繊維ヵ）,金属,植物繊維,,1対(2点),,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00189,雪下駄（つまかわあしだ））,木,革（漆）,化学繊維,金属,植物繊維,合成樹脂,,1対(2点),,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00190,雪下駄（つまかわあしだ））,木,毛,食物繊維,革,その他(化学繊維）,金属,,1対(2点),,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00191,下駄,木,藁,食物繊維,その他(化学繊維）,金属,,,1対(2点),,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00192,下駄ぼっくり,木（漆）,藁,食物繊維,その他(化学繊維ヵ）,金属,,,1対(2点),,鈴入り,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00193,雪下駄（つまかわあしだ））,木（漆）,革,毛,その他合成繊維,植物繊維,金属,,1対(2点),,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00194,下駄,木（漆）,藁,植物繊維,その他(化学繊維ヵ）,金属,,,1対(2点),,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00195,下駄,木,植物繊維,その他化学繊維,合成繊維,金属,,,1対(2点),,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00196,雪下駄（つまかわあしだ）つまかわ部分,革,植物繊維,,,,,,1揃（6点）,,紙箱入,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00197,扇,紙,竹,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00198,インク壺,ガラス,,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00199,わらじ,藁,植物繊維,,,,,,1対(2点),,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00200,わらぐつ,藁,,,,,,,1対(2点),,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00201,草履,藁,植物繊維,,,,,,1対(2点),,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00202,縄,藁,,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00203,しびん,ガラス,藁,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00204,重量計,金属,,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00205,こて,金属,木,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00206,きんつば焼,金属,,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00207,さおばかり,金属,竹,革,木,植物繊維,,,1点,破損ヵ,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00208,かぎ,木,金属,植物繊維,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00209,金属蓋ヵ,金属,,,,,,,1揃(5点),,ビニール袋に一括されていた,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00210,箸,金属,,,,,,,1対(2点),,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00211,箸,木,,,,,,,1対(2点),,ODK00211〜ODK00215まで紐でまとめられていた。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00212,箸,木,,,,,,,1対(2点),,ODK00211〜ODK00215まで紐でまとめられていた。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00213,箸,木,,,,,,,1対(2点),,ODK00211〜ODK00215まで紐でまとめられていた。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00214,箸,木,,,,,,,1対(2点),,ODK00211〜ODK00215まで紐でまとめられていた。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00215,箸,木,,,,,,,1対(2点),,ODK00211〜ODK00215まで紐でまとめられていた。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00216,靴,革,金属,植物繊維,合成樹脂,,,,1対(2点),,付札同じ内容のものが二枚ある。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00217,靴,革,金属,植物繊維,合成樹脂,,,,1対(2点),,合成樹脂が溶けて固まっている。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00218,靴,革,金属,植物繊維,合成樹脂,,,,1対(2点),,付札同じ内容のものが二枚ある。合成樹脂が溶けて固まっている。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00219,靴,革,金属,植物繊維,合成樹脂,,,,1対(2点),,付札同じ内容のものが二枚ある。合成樹脂が溶けて固まっている。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00220,はばき,植物繊維,毛,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00221,はばき,植物繊維,毛,,,,,,1点,欠損(紐),,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00222,はばき,植物繊維,毛,,,,,,1点,欠損(紐),,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00223,はばき,植物繊維,毛,,,,,,1点,,編みで「壽」とある。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00224,背負かばん,革,金属,植物繊維,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00225,漁網のもと糸,植物繊維,,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00226,そろばん,木,金属,竹,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00227,そろばん,木,竹,金属,合成樹脂ヵ,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00228,そろばん,木,竹,金属,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00229,そろばん,木,金属,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00230,そろばん,木,金属,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00231,そろばん,木,竹,金属,,,,,1点,欠損,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
